freq,h2Om
1e-07,1.3489718559061828e-22
1.0016117410670395e-07,1.3555049542787058e-22
1.003226079843348e-07,1.3620696925806788e-22
1.0048430205157565e-07,1.3686662240449138e-22
1.0064625672778518e-07,1.375294702646364e-22
1.0080847243299714e-07,1.3819552831056546e-22
1.0097094958792291e-07,1.388648120892749e-22
1.0113368861395194e-07,1.3953733722305562e-22
1.0129668993315222e-07,1.4021311940985503e-22
1.0145995396827285e-07,1.408921744236494e-22
1.0162348114274344e-07,1.4157451811480527e-22
1.017872718806767e-07,1.422601664104555e-22
1.0195132660686891e-07,1.429491353148683e-22
1.0211564574680034e-07,1.4364144090981824e-22
1.0228022972663792e-07,1.4433709935496783e-22
1.0244507897323456e-07,1.4503612688823762e-22
1.0261019391413183e-07,1.4573853982619128e-22
1.0277557497756032e-07,1.4644435456441415e-22
1.0294122259244025e-07,1.4715358757789277e-22
1.0310713718838372e-07,1.4786625542140543e-22
1.0327331919569532e-07,1.4858237472990522e-22
1.0343976904537249e-07,1.4930196221890598e-22
1.036064871691082e-07,1.500250346848791e-22
1.0377347399929034e-07,1.5075160900563753e-22
1.0394072996900434e-07,1.5148170214073664e-22
1.0410825551203366e-07,1.5221533113186772e-22
1.0427605106286023e-07,1.5295251310325198e-22
1.0444411705666716e-07,1.536932652620476e-22
1.0461245392933805e-07,1.544376048987435e-22
1.0478106211745974e-07,1.551855493875698e-22
1.0494994205832268e-07,1.5593711618690026e-22
1.0511909418992148e-07,1.5669232283965682e-22
1.0528851895095757e-07,1.574511869737266e-22
1.0545821678083859e-07,1.5821372630236428e-22
1.0562818811968101e-07,1.5897995862461382e-22
1.0579843340831068e-07,1.5974990182571996e-22
1.059689530882633e-07,1.605235738775432e-22
1.0613974760178703e-07,1.613009928389858e-22
1.0631081739184204e-07,1.6208217685640609e-22
1.06482162902103e-07,1.6286714416404844e-22
1.0665378457695972e-07,1.6365591308446595e-22
1.0682568286151757e-07,1.644485020289452e-22
1.0699785820160022e-07,1.6524492949794326e-22
1.07170311043749e-07,1.6604521408151098e-22
1.073430418352256e-07,1.6684937445973435e-22
1.0751605102401258e-07,1.6765742940316744e-22
1.0768933905881388e-07,1.6846939777326743e-22
1.0786290638905731e-07,1.6928529852284096e-22
1.08036753464895e-07,1.7010515069648347e-22
1.0821088073720399e-07,1.7092897343102084e-22
1.0838528865758887e-07,1.7175678595596282e-22
1.0855997767838122e-07,1.7258860759394424e-22
1.0873494825264234e-07,1.734244577611828e-22
1.0891020083416376e-07,1.7426435596792952e-22
1.090857358774677e-07,1.751083218189204e-22
1.0926155383780984e-07,1.7595637501384219e-22
1.0943765517117878e-07,1.7680853534778339e-22
1.0961404033429867e-07,1.7766482271170347e-22
1.0979070978462979e-07,1.7852525709289425e-22
1.0996766398036909e-07,1.7938985857544349e-22
1.1014490338045286e-07,1.8025864734071063e-22
1.1032242844455623e-07,1.8113164366778954e-22
1.1050023963309583e-07,1.8200886793398955e-22
1.1067833740723042e-07,1.828903406153077e-22
1.108567222288613e-07,1.8377608228690325e-22
1.1103539456063516e-07,1.8466611362358587e-22
1.1121435486594345e-07,1.8556045540028949e-22
1.113936036089252e-07,1.864591284925645e-22
1.1157314125446744e-07,1.873621538770623e-22
