freq,h2Om
1e-07,3.1530524197204594e-22
1.0016117410670395e-07,3.1683227171759006e-22
1.003226079843348e-07,3.183666968994407e-22
1.0048430205157565e-07,3.19908553333843e-22
1.0064625672778518e-07,3.214578770105089e-22
1.0080847243299714e-07,3.230147040934412e-22
1.0097094958792291e-07,3.245790709217915e-22
1.0113368861395194e-07,3.261510140107035e-22
1.0129668993315222e-07,3.2773057005215714e-22
1.0145995396827285e-07,3.293177759158413e-22
1.0162348114274344e-07,3.309126686499974e-22
1.017872718806767e-07,3.3251528548229806e-22
1.0195132660686891e-07,3.341256638207104e-22
1.0211564574680034e-07,3.3574384125436304e-22
1.0228022972663792e-07,3.3736985555443753e-22
1.0244507897323456e-07,3.3900374467503373e-22
1.0261019391413183e-07,3.406455467540708e-22
1.0277557497756032e-07,3.4229530011416974e-22
1.0294122259244025e-07,3.439530432635428e-22
1.0310713718838372e-07,3.456188148969051e-22
1.0327331919569532e-07,3.4729265389637063e-22
1.0343976904537249e-07,3.489745993323537e-22
1.036064871691082e-07,3.506646904644962e-22
1.0377347399929034e-07,3.523629667425669e-22
1.0394072996900434e-07,3.540694678073968e-22
1.0410825551203366e-07,3.5578423349179823e-22
1.0427605106286023e-07,3.57507303821488e-22
1.0444411705666716e-07,3.5923871901603735e-22
1.0461245392933805e-07,3.6097851948979286e-22
1.0478106211745974e-07,3.627267458528351e-22
1.0494994205832268e-07,3.6448343891192015e-22
1.0511909418992148e-07,3.6624863967142536e-22
1.0528851895095757e-07,3.68022389334322e-22
1.0545821678083859e-07,3.698047293031193e-22
1.0562818811968101e-07,3.7159570118084653e-22
1.0579843340831068e-07,3.73395346772017e-22
1.059689530882633e-07,3.7520370808359754e-22
1.0613974760178703e-07,3.7702082732600427e-22
1.0631081739184204e-07,3.7884674691407087e-22
1.06482162902103e-07,3.806815094680531e-22
1.0665378457695972e-07,3.825251578146177e-22
1.0682568286151757e-07,3.843777349878349e-22
1.0699785820160022e-07,3.862392842301993e-22
1.07170311043749e-07,3.8810984899362025e-22
1.073430418352256e-07,3.8998947294045237e-22
1.0751605102401258e-07,3.918781999445087e-22
1.0768933905881388e-07,3.937760740920757e-22
1.0786290638905731e-07,3.9568313968295923e-22
1.08036753464895e-07,3.9759944123150907e-22
1.0821088073720399e-07,3.9952502346765154e-22
1.0838528865758887e-07,4.0145993133795143e-22
1.0855997767838122e-07,4.0340421000664036e-22
1.0873494825264234e-07,4.0535790485668837e-22
1.0891020083416376e-07,4.073210614908569e-22
1.090857358774677e-07,4.092937257327541e-22
1.0926155383780984e-07,4.112759436279235e-22
1.0943765517117878e-07,4.1326776144489796e-22
1.0961404033429867e-07,4.152692256762971e-22
1.0979070978462979e-07,4.1728038303990543e-22
1.0996766398036909e-07,4.193012804797551e-22
1.1014490338045286e-07,4.2133196516723903e-22
1.1032242844455623e-07,4.2337248450219226e-22
1.1050023963309583e-07,4.254228861140154e-22
1.1067833740723042e-07,4.274832178627804e-22
1.108567222288613e-07,4.295535278403373e-22
1.1103539456063516e-07,4.31633864371457e-22
1.1121435486594345e-07,4.33724276014938e-22
1.113936036089252e-07,4.358248115647575e-22
1.1157314125446744e-07,4.379355200512036e-22
1.1175296826820585e-07,4.400564507420099e-22
1.119330851165275e-07,4.421876531435268e-22
1.1211349226657022e-07,4.4432917700185285e-22
1.1229419018622546e-07,4.464810723040169e-22
1.1247517934413876e-07,4.48643389279136e-22
1.1265646020971034e-07,4.508161783995795e-22
1.1283803325309762e-07,4.529994903821633e-22
1.1301989894521582e-07,4.551933761893264e-22
1.1320205775773847e-07,4.573978870303113e-22
1.1338451016310022e-07,4.596130743623793e-22
1.1356725663449624e-07,4.61838989891989e-22
1.1375029764588506e-07,4.640756855760224e-22
1.1393363367198911e-07,4.663232136229904e-22
1.1411726518829529e-07,4.685816264942422e-22
1.1430119267105772e-07,4.708509769052093e-22
1.1448541659729726e-07,4.731313178266141e-22
1.1466993744480423e-07,4.754227024857256e-22
1.1485475569213909e-07,4.777251843675935e-22
1.150398718186329e-07,4.800388172162886e-22
1.1522528630439018e-07,4.823636550361764e-22
1.1541099963028833e-07,4.846997520931551e-22
1.1559701227798053e-07,4.870471629159422e-22
1.1578332472989625e-07,4.894059422973399e-22
1.1596993746924178e-07,4.917761452955029e-22
1.161568509800032e-07,4.941578272352466e-22
1.1634406574694564e-07,4.965510437093128e-22
1.1653158225561633e-07,4.989558505796898e-22
1.1671940099234502e-07,5.013723039789064e-22
1.1690752244424463e-07,5.038004603113328e-22
1.1709594709921409e-07,5.0624037625452e-22
1.1728467544593776e-07,5.086921087604961e-22
1.1747370797388837e-07,5.1115571505711875e-22
1.1766304517332752e-07,5.136312526494017e-22
1.1785268753530629e-07,5.161187793208465e-22
1.180426355516679e-07,5.186183531348112e-22
1.1823288971504833e-07,5.211300324358563e-22
1.1842345051887682e-07,5.236538758510958e-22
1.1861431845737885e-07,5.261899422915894e-22
1.188054940255755e-07,5.287382909536911e-22
1.1899697771928642e-07,5.312989813204534e-22
1.1918877003513041e-07,5.33872073163008e-22
1.1938087147052594e-07,5.364576265419475e-22
1.1957328252369419e-07,5.390557018087537e-22
1.1976600369365834e-07,5.416663596071783e-22
1.199590354802466e-07,5.4428966087468155e-22
1.201523783840928e-07,5.469256668438454e-22
1.203460329066369e-07,5.495744390437923e-22
1.2053999955012804e-07,5.522360393016447e-22
1.207342788176239e-07,5.549105297439427e-22
1.2092887121299365e-07,5.5759797279811495e-22
1.211237772409186e-07,5.602984311939284e-22
1.2131899740689273e-07,5.630119679649411e-22
1.215145322172257e-07,5.657386464499977e-22
1.2171038217904228e-07,5.6847853029467985e-22
1.219065478002853e-07,5.712316834528178e-22
1.221030295897163e-07,5.7399817018797e-22
1.2229982805691597e-07,5.767780550749148e-22
1.224969437122874e-07,5.795714030011811e-22
1.226943770670553e-07,5.823782791685365e-22
1.228921286332691e-07,5.851987490945314e-22
1.230901989238035e-07,5.880328786140197e-22
1.2328858845235903e-07,5.9088073388068375e-22
1.2348729773346528e-07,5.937423813686042e-22
1.2368632728248002e-07,5.966178878737821e-22
1.2388567761559247e-07,5.995073205157247e-22
1.2408534924982378e-07,6.024107467389992e-22
1.2428534270302763e-07,6.053282343147985e-22
1.2448565849389318e-07,6.082598513425429e-22
1.246862971419455e-07,6.112056662514593e-22
1.2488725916754625e-07,6.141657478021691e-22
1.2508854509189683e-07,6.17140165088316e-22
1.2529015543703765e-07,6.201289875381514e-22
1.2549209072585126e-07,6.231322849161799e-22
1.25694351482063e-07,6.261501273247785e-22
1.2589693823024155e-07,6.291825852058189e-22
1.2609985149580201e-07,6.322297293423389e-22
1.2630309180500537e-07,6.352916308601655e-22
1.2650665968496155e-07,6.383683612296012e-22
1.2671055566363001e-07,6.414599922670801e-22
1.2691478026982048e-07,6.445665961368335e-22
1.271193340331959e-07,6.476882453526011e-22
1.273242174842719e-07,6.508250127792919e-22
1.2752943115441996e-07,6.53976971634714e-22
1.2773497557586796e-07,6.57144195491269e-22
1.2794085128170088e-07,6.60326758277662e-22
1.2814705880586383e-07,6.635247342806496e-22
1.2835359868316157e-07,6.667381981467458e-22
1.285604714492615e-07,6.699672248839911e-22
1.287676776406945e-07,6.732118898636924e-22
1.289752177948553e-07,6.764722688221669e-22
1.2918309245000588e-07,6.797484378625437e-22
1.293913021452747e-07,6.830404734565017e-22
1.2959984742065993e-07,6.863484524460868e-22
1.2980872881703013e-07,6.896724520454946e-22
1.3001794687612473e-07,6.93012549842855e-22
1.302275021405571e-07,6.963688238020726e-22
1.3043739515381528e-07,6.997413522646344e-22
1.3064762646026234e-07,7.031302139514213e-22
1.3085819660513983e-07,7.065354879645796e-22
1.3106910613456705e-07,7.09957253789332e-22
1.3128035559554427e-07,7.133955912958619e-22
1.314919455359534e-07,7.168505807411659e-22
1.3170387650455863e-07,7.203223027709146e-22
1.3191614905100958e-07,7.238108384213629e-22
1.321287637258408e-07,7.273162691212097e-22
1.3234172108047488e-07,7.30838676693528e-22
1.325550216672232e-07,7.34378143357661e-22
1.3276866603928657e-07,7.37934751731129e-22
1.3298265475075842e-07,7.415085848315882e-22
1.3319698835662415e-07,7.450997260787331e-22
1.3341166741276446e-07,7.487082592962745e-22
1.336266924759561e-07,7.523342687138845e-22
1.3384206410387224e-07,7.559778389691459e-22
1.3405778285508606e-07,7.5963905510956305e-22
1.3427384928906986e-07,7.633180025945071e-22
1.344902639661985e-07,7.670147672972446e-22
1.3470702744775007e-07,7.707294355069299e-22
1.349241402959064e-07,7.744620939306014e-22
1.3514160307375658e-07,7.7821282969524165e-22
1.353594163452961e-07,7.819817303497712e-22
1.355775806754303e-07,7.857688838671261e-22
1.3579609662997502e-07,7.895743786462969e-22
1.360149647756572e-07,7.933983035143797e-22
1.3623418568011834e-07,7.972407477286784e-22
1.3645375991191364e-07,8.011018009787542e-22
1.366736880405156e-07,8.049815533885514e-22
1.3689397063631453e-07,8.088800955184858e-22
1.3711460827061917e-07,8.127975183675448e-22
1.3733560151565994e-07,8.167339133754392e-22
1.3755695094458957e-07,8.206893724247269e-22
1.3777865713148369e-07,8.246639878429374e-22
1.3800072065134434e-07,8.286578524047653e-22
1.3822314208009913e-07,8.326710593341947e-22
1.3844592199460485e-07,8.367037023067103e-22
1.3866906097264797e-07,8.407558754514699e-22
1.388925595929454e-07,8.448276733534844e-22
1.3911641843514784e-07,8.48919191055863e-22
1.393406380798392e-07,8.530305240619891e-22
1.3956521910853996e-07,8.571617683377885e-22
1.3979016210370782e-07,8.613130203139487e-22
1.4001546764873846e-07,8.6548437688816e-22
1.4024113632796894e-07,8.696759354274109e-22
1.4046716872667701e-07,8.738877937702174e-22
1.4069356543108454e-07,8.781200502289463e-22
1.409203270283583e-07,8.823728035920943e-22
1.4114745410661055e-07,8.866461531265754e-22
1.4137494725490252e-07,8.909401985800761e-22
1.4160280706324378e-07,8.952550401833437e-22
1.4183103412259567e-07,8.995907786525585e-22
1.42059629024872e-07,9.039475151916737e-22
1.422885923629398e-07,9.083253514947583e-22
1.4251792473062237e-07,9.127243897484025e-22
1.4274762672270023e-07,9.171447326340904e-22
1.4297769893491162e-07,9.215864833305773e-22
1.432081419639561e-07,9.260497455163362e-22
1.4343895640749383e-07,9.305346233719379e-22
1.4367014286414905e-07,9.350412215825146e-22
1.4390170193351092e-07,9.395696453401942e-22
1.4413363421613402e-07,9.441200003465329e-22
1.443659403135421e-07,9.486923928150255e-22
1.4459862082822718e-07,9.532869294735381e-22
1.448316763636533e-07,9.579037175668384e-22
1.4506510752425707e-07,9.625428648590843e-22
1.452989149154484e-07,9.672044796363177e-22
1.455330991436142e-07,9.718886707090379e-22
1.4576766081611746e-07,9.7659554741469e-22
1.4600260054130108e-07,9.813252196202637e-22
1.4623791892848833e-07,9.86077797724832e-22
1.4647361658798375e-07,9.908533926621185e-22
1.467096941310767e-07,9.956521159031236e-22
1.4694615217004056e-07,1.0004740794586808e-21
1.4718299131813644e-07,1.005319395882111e-21
1.4742021218961386e-07,1.0101881782718348e-21
1.4765781539971154e-07,1.015080540273991e-21
1.478958015646609e-07,1.0199965960851355e-21
1.4813417130168535e-07,1.0249364604548527e-21
1.4837292522900414e-07,1.0299002486884823e-21
1.4861206396583278e-07,1.0348880766497898e-21
1.48851588132384e-07,1.0399000607636525e-21
1.490914983498713e-07,1.0449363180188205e-21
1.4933179524050823e-07,1.049996965970598e-21
1.495724794275121e-07,1.0550821227436303e-21
1.4981355153510463e-07,1.0601919070346433e-21
1.500550121885128e-07,1.065326438115194e-21
1.502968620139721e-07,1.0704858358344925e-21
1.5053910163872747e-07,1.0756702206221831e-21
1.5078173169103384e-07,1.0808797134911331e-21
1.510247528001599e-07,1.0861144360403023e-21
1.512681655963874e-07,1.0913745104575307e-21
1.5151197071101482e-07,1.0966600595224378e-21
1.5175616877635813e-07,1.1019712066092663e-21
1.5200076042575157e-07,1.1073080756897437e-21
1.5224574629355126e-07,1.1126707913360197e-21
1.5249112701513465e-07,1.1180594787235249e-21
1.5273690322690408e-07,1.123474263633937e-21
1.529830755662876e-07,1.1289152724580942e-21
